Pais,Anho,Npatente,max,media,dif
DE,1980,4207887,1,1.0,0.0
DE,1980,4211815,1,1.0,0.0
DE,1980,4240360,1,1.0,0.0
DE,1980,4188395,1,1.0,0.0
DE,1980,4221650,1,1.0,0.0
DE,1980,4194283,1,1.0,0.0
DE,1981,4244344,1,1.0,0.0
DE,1981,4306228,1,1.0,0.0
DE,1981,4257825,1,1.0,0.0
DE,1981,4307448,1,1.0,0.0
DE,1981,4293731,1,1.0,0.0
DE,1981,4297274,1,1.0,0.0
DE,1981,4278716,1,1.0,0.0
DE,1981,4280359,1,1.0,0.0
DE,1981,4247611,1,1.0,0.0
DE,1981,4256636,1,1.0,0.0
DE,1981,4293456,1,1.0,0.0
DE,1981,4245191,1,1.0,0.0
DE,1981,4250888,1,1.0,0.0
DE,1981,4290142,1,1.0,0.0
DE,1981,4247976,1,1.0,0.0
DE,1982,4321394,1,1.0,0.0
DE,1982,4366248,1,1.0,0.0
DE,1982,4312899,1,1.0,0.0
DE,1982,4350367,1,1.0,0.0
DE,1982,4361428,1,1.0,0.0
DE,1982,4353964,1,1.0,0.0
DE,1982,4361037,1,1.0,0.0
DE,1982,4364090,1,1.0,0.0
DE,1982,4328059,1,1.0,0.0
DE,1982,4323175,1,1.0,0.0
DE,1982,4329879,1,1.0,0.0
DE,1982,4340534,1,1.0,0.0
DE,1982,4325747,1,1.0,0.0
DE,1982,4341765,1,1.0,0.0
DE,1983,4370374,1,1.0,0.0
DE,1983,4379905,1,1.0,0.0
DE,1983,4423348,1,1.0,0.0
DE,1983,4369322,1,1.0,0.0
DE,1983,4372424,1,1.0,0.0
DE,1983,4417554,1,1.0,0.0
DE,1983,4367747,1,1.0,0.0
DE,1983,4374868,1,1.0,0.0
DE,1983,4408511,1,1.0,0.0
DE,1983,4384368,1,1.0,0.0
DE,1983,4405714,1,1.0,0.0
DE,1983,4386089,1,1.0,0.0
DE,1983,4419513,1,1.0,0.0
DE,1983,4391602,1,1.0,0.0
DE,1983,4381367,1,1.0,0.0
DE,1983,4402667,1,1.0,0.0
DE,1983,4396710,1,1.0,0.0
DE,1983,4393295,1,1.0,0.0
DE,1983,4379927,1,1.0,0.0
DE,1983,4418661,1,1.0,0.0
DE,1983,4419192,1,1.0,0.0
DE,1983,4401545,1,1.0,0.0
DE,1983,4403163,1,1.0,0.0
DE,1984,4479403,1,1.0,0.0
DE,1984,4441712,1,1.0,0.0
DE,1984,4482737,1,1.0,0.0
DE,1984,4462320,1,1.0,0.0
DE,1984,4463281,1,1.0,0.0
DE,1984,4486507,1,1.0,0.0
DE,1984,4435789,1,1.0,0.0
DE,1984,4476394,1,1.0,0.0
DE,1984,4488458,1,1.0,0.0
DE,1984,4425018,1,1.0,0.0
DE,1984,4423989,1,1.0,0.0
DE,1984,4437443,1,1.0,0.0
DE,1984,4441355,1,1.0,0.0
DE,1984,4484832,1,1.0,0.0
DE,1984,4460920,1,1.0,0.0
DE,1984,4424443,1,1.0,0.0
DE,1984,4458485,1,1.0,0.0
DE,1984,4474715,1,1.0,0.0
DE,1985,4497962,1,1.0,0.0
DE,1985,4560668,1,1.0,0.0
DE,1985,4515994,1,1.0,0.0
DE,1985,4535021,1,1.0,0.0
DE,1985,4531431,1,1.0,0.0
DE,1985,4543810,1,1.0,0.0
DE,1985,4556231,1,1.0,0.0
DE,1985,4495123,1,1.0,0.0
DE,1985,4557305,1,1.0,0.0
DE,1985,4516784,1,1.0,0.0
DE,1985,4522067,1,1.0,0.0
DE,1985,4557778,1,1.0,0.0
DE,1985,4533530,1,1.0,0.0
DE,1985,4562283,1,1.0,0.0
DE,1985,4522972,1,1.0,0.0
DE,1985,4539540,1,1.0,0.0
DE,1986,4565956,1,1.0,0.0
DE,1986,4626605,1,1.0,0.0
DE,1986,4573355,1,1.0,0.0
DE,1986,4631415,1,1.0,0.0
DE,1986,4611080,1,1.0,0.0
DE,1986,4622895,1,1.0,0.0
DE,1986,4568427,1,1.0,0.0
DE,1986,4579127,1,1.0,0.0
DE,1986,4600418,1,1.0,0.0
DE,1986,4600243,1,1.0,0.0
DE,1986,4572740,1,1.0,0.0
